1483138248.48		0
1483138269.39		0
1483138275.17		0
1483138279.93		0
1483138490.14		0
1483138496.69		1
1483138502.39		2
1483138509.25		4
1483138513.06		5
1483138518.87		6
1483138524.89		8
1483138526.99		8
1483138529.76		8
1483138535.52		9
1483138540.42		11
1483138545.85		12
1483138549.84		13
1483138556.76		14
1483138561.7		15
1483138567.38		17
1483138884.88		0
1483138889.15		0
1483138891.04		1
1483138896.86		1
1483138902.52		3
1483138907.4		4
1483138913.28		5
1483138919.79		7
1483138923.62		7
1483138928.5		8
1483138934.63		10
1483138939.37		11
1483138945.02		11
1483138946.11		12
1483138950.25		13
1483138955.29		14
1483138960.25		15
1483138966.17		16
1483138972.17		17
1483138978.1		19
1483138981.99		19
1483138987.82		20
1483138995.15		22
1483138999.3		22
1483139006.02		24
1483139011.76		25
1483139016.7		26
1483139022.69		27
1483139028.46		29
1483139033.24		30
1483139038.92		30
1483139044.73		33
1483139049.76		33
1483139053.62		34
1483139059.58		35
1483139063.85		35
1483139065.8		36
1483139069.76		37
1483139073.69		37
1483139075.93		38
1483139080.61		40
