1483138229.27		0		0
1483138232.71		0		0
1483138234.75		0		0
1483138236.8		0		0
1483138238.81		0		0
1483138240.84		0		0
1483138242.86		0		0
1483138244.88		0		0
1483138246.9		0		0
1483138248.91		0		0
1483138250.93		0		0
1483138253.0		0		0
1483138255.28		0		0
1483138257.29		0		0
1483138259.31		0		0
1483138261.38		0		0
1483138263.41		0		0
1483138265.43		1		0
1483138267.45		1		0
1483138269.47		1		0
1483138271.49		1		1
1483138273.52		2		0
1483138275.55		2		0
1483138277.57		2		0
1483138279.61		3		0
1483138281.64		3		0
1483138487.93		0		0
1483138490.03		0		0
1483138492.05		0		1
1483138494.07		0		2
1483138496.08		1		1
1483138498.13		1		2
1483138500.15		1		1
1483138502.17		2		2
1483138504.2		3		3
1483138506.22		3		3
1483138508.25		5		4
1483138510.27		5		4
1483138512.28		6		4
1483138514.31		6		5
1483138516.33		7		6
1483138518.37		8		5
1483138520.4		8		6
1483138522.43		9		6
1483138524.48		10		7
1483138526.49		10		8
1483138528.52		11		8
1483138530.54		11		9
1483138532.56		12		10
1483138534.57		13		9
1483138536.6		13		10
1483138538.64		13		10
1483138540.68		15		11
1483138542.7		15		12
1483138544.72		16		11
1483138546.74		16		12
1483138548.76		17		12
1483138550.79		18		13
1483138552.81		18		13
1483138554.82		19		13
1483138556.84		20		14
1483138558.87		20		15
1483138560.89		21		14
1483138562.91		21		15
1483138564.94		22		15
1483138566.97		23		16
1483138875.59		0		0
1483138877.63		0		0
1483138879.65		0		0
1483138881.66		0		0
1483138883.7		0		0
1483138885.74		0		1
1483138887.78		0		2
1483138889.8		1		1
1483138891.83		1		1
1483138893.85		2		2
1483138895.87		3		1
1483138897.89		4		2
1483138899.91		5		2
1483138901.93		6		3
1483138903.95		6		3
1483138905.96		7		3
1483138907.98		7		4
1483138910.0		8		5
1483138912.03		9		4
1483138914.06		9		5
1483138916.09		9		5
1483138918.11		11		6
1483138920.13		11		6
1483138922.15		12		7
1483138924.17		12		8
1483138926.19		13		9
1483138928.2		14		9
1483138930.22		14		9
1483138932.24		14		9
1483138934.26		15		10
1483138936.28		16		11
1483138938.29		17		10
1483138940.32		17		11
1483138942.34		18		12
1483138944.37		19		12
1483138946.38		19		12
1483138948.42		20		12
1483138950.44		21		13
1483138952.47		21		14
1483138954.49		22		13
1483138956.52		22		14
1483138958.55		23		15
1483138960.56		24		15
1483138962.59		24		15
1483138964.62		25		15
1483138966.65		25		16
1483138968.67		26		17
1483138970.7		27		16
1483138972.73		27		17
1483138974.75		27		17
1483138976.78		29		18
1483138978.81		29		18
1483138980.83		30		19
1483138982.86		30		20
1483138984.88		31		21
1483138986.9		32		20
1483138988.92		32		21
1483138990.94		33		21
1483138992.97		33		21
1483138995.0		33		22
1483138997.02		34		21
1483138999.04		35		22
1483139001.07		36		23
1483139003.09		36		24
1483139005.11		37		23
1483139007.14		37		24
1483139009.17		38		25
1483139011.19		39		25
1483139013.21		39		25
1483139015.24		40		25
1483139017.26		41		26
1483139019.28		41		27
1483139021.31		42		26
1483139023.34		42		27
1483139025.37		42		28
1483139027.38		44		28
1483139029.42		44		29
1483139031.45		44		29
1483139033.47		46		30
1483139035.48		46		31
1483139037.5		47		30
1483139039.53		47		31
1483139041.55		47		31
1483139043.58		49		32
1483139045.62		49		32
1483139047.64		49		32
1483139049.66		50		33
1483139051.69		51		34
1483139053.71		52		34
1483139055.75		52		34
1483139057.76		53		34
1483139059.79		54		35
1483139061.82		54		36
1483139063.84		54		35
1483139065.87		55		36
1483139067.9		56		37
1483139069.92		57		37
1483139071.95		57		37
1483139073.98		58		37
1483139076.01		58		38
1483139078.03		59		39
1483139080.06		60		39
